t,rpm,rpm_x1000,speed_mph,coolant_c,avg_speed_mph,distance_miles,accel_g
1917.8745001,1776.0,1.8,37.90364272647737,89.0,33.69964546732802,17.95189147983412,0.0
1917.9965947,1778.0,1.8,37.90364272647737,89.0,33.699911807497465,17.953170765679783,0.0
1918.0245344,1782.0,1.8,37.90364272647737,89.0,33.6999823882239,17.953509806393818,0.0
1918.199178,1783.0,1.8,37.90364272647737,89.0,33.700356861968174,17.955308814354,0.0
1918.2568063,1781.0,1.8,37.90364272647737,89.0,33.7004893673435,17.95594545973042,0.0
1918.3378823,1789.0,1.8,37.90364272647737,89.0,33.700666165126684,17.956794978281664,0.0
1918.4846675,1811.0,1.8,39.14638511095204,89.0,33.70102697008306,17.958352367331003,0.3158631050494139
1918.5958422,1967.0,2.0,39.14638511095204,89.0,33.70133006151396,17.959513512182568,0.3235809400490648
1918.6975049,2203.0,2.2,39.14638511095204,89.0,33.70162864461546,17.960657512004857,0.0
1918.7900356,2317.0,2.3,39.14638511095204,89.0,33.70189782412621,17.96168896162035,0.0
1918.8695344,2389.0,2.4,39.14638511095204,89.0,33.70211701838945,17.962528951703266,0.0
1918.9897081,2425.0,2.4,39.14638511095204,89.0,33.70245462331641,17.96382284412154,0.0
1919.0428784,2432.0,2.4,39.14638511095204,89.0,33.70261105246095,17.964422423204695,0.0
1919.1813382,2449.0,2.4,39.14638511095204,89.0,33.702999847697534,17.965912790242445,0.0
1919.2722069,2461.0,2.5,39.14638511095204,89.0,33.70325626156107,17.966895816866955,0.0
1919.3489673,2489.0,2.5,39.14638511095204,89.0,33.70356000302378,17.96806040551301,0.0
1919.4780671,2605.0,2.6,40.38912749542671,89.0,33.70391404380745,17.969200728578397,0.2751911283531057
1919.5249038,2650.0,2.6,40.38912749542671,89.0,33.70407617062179,17.96972295999691,0.2575931980152954
1919.6693065,2680.0,2.7,40.38912749542671,89.0,33.70457837459121,17.971340784644028,0.0
1919.7978331,2810.0,2.8,40.38912749542671,89.0,33.70503555358423,17.972813775001867,0.0
1919.8483833,2819.0,2.8,40.38912749542671,89.0,33.70520917599597,17.97337322387945,0.0
1919.9454242,2825.0,2.8,40.38912749542671,89.0,33.70555041205554,17.974472844801596,0.0
1920.1731447,2973.0,3.0,40.38912749542671,89.0,33.70632844106422,17.976980435195916,0.0
1920.2938974,3459.0,3.5,40.38912749542671,89.0,33.70674986892749,17.978338942571867,0.0
1920.375834,4010.0,4.0,41.63186987990137,89.0,33.707089862045635,17.979291610432536,0.1074051105079508
1920.4928565,4093.0,4.1,41.63186987990137,89.0,33.70757823973117,17.980660198019915,0.1034847609850496
1920.5999873,4097.0,4.1,41.63186987990137,89.0,33.70801314986418,17.981879094749818,0.1327208219634029
1920.6805311,4265.0,4.3,41.63186987990137,89.0,33.70834621980742,17.982812660520853,0.1465234425271155
1920.7979883,4246.0,4.2,41.63186987990137,89.0,33.708826547483326,17.984159114987186,0.0
1920.8779933,4295.0,4.3,42.87461226437604,89.0,33.70921202807532,17.98512116531121,0.1470929309299865
1920.9968694,4344.0,4.3,42.87461226437604,89.0,33.70976951228563,17.986512631078213,0.1427398734309156
1921.1855638,4416.0,4.4,42.87461226437604,89.0,33.71069177235636,17.988814939399703,0.1461673937619793
1921.3927072,4512.0,4.5,44.11735464885071,89.0,33.711808061317484,17.991340490062306,0.1950077458702078
1921.4726582,4545.0,4.5,44.11735464885071,89.0,33.712243663981376,17.99232616735276,0.0
1921.5465506,4572.0,4.6,44.11735464885071,88.0,33.7126243617105,17.993187673897594,0.0
1921.6973129,4635.0,4.6,44.11735464885071,88.0,33.713449649594665,17.995055489949074,0.0
1921.7855414,4669.0,4.7,45.98146822556271,88.0,33.71401559527935,17.996187768276975,0.3555632730694822
1921.8932851,4710.0,4.7,45.98146822556271,88.0,33.714683825421574,17.997524819964564,0.433614314078701
1921.9695773,4758.0,4.8,45.98146822556271,88.0,33.7151782781791,17.99851425686142,0.0
1922.0380214,4776.0,4.8,45.98146822556271,88.0,33.715628377988885,17.99941500955596,0.0
1922.1690057,4838.0,4.8,45.98146822556271,88.0,33.716463372471324,18.001086199632308,0.0
1922.2898867,4882.0,4.9,47.84558180227472,88.0,33.71733154697017,18.00265590153155,0.4715794376403701
1922.3840162,4927.0,4.9,47.84558180227472,88.0,33.71803331754007,18.003924878000635,0.0
1922.4899885,4966.0,5.0,47.84558180227472,88.0,33.71880161140539,18.005314289773384,0.0
1922.532733,4973.0,5.0,47.84558180227472,88.0,33.71912129290038,18.00589245844197,0.0
1922.6856133,5046.0,5.0,49.70969537898672,88.0,33.72029394995552,18.00796794206207,0.4343843473909955
1922.7852102,5060.0,5.1,49.70969537898672,88.0,33.72113051489405,18.0093569497019,0.4959229686243996
1922.872846,5115.0,5.1,49.70969537898672,88.0,33.721833820492854,18.010524809953584,0.0
1922.9978889,5164.0,5.2,49.70969537898672,88.0,33.72293385738792,18.01235166059031,0.0
1923.0573846,5186.0,5.2,49.70969537898672,88.0,33.72336340400452,18.013065084472615,0.0
1923.1577448,5222.0,5.2,52.19518014793605,88.0,33.72425076952835,18.01449078732628,0.708774599135797
1923.2884068,5259.0,5.3,52.19518014793605,88.0,33.72550819427167,18.01638894769473,0.4904368560337147
1923.3889167,5310.0,5.3,52.19518014793605,87.0,33.726467173174484,18.017836759349663,0.0
1923.469094,5349.0,5.3,52.19518014793605,87.0,33.7272331780532,18.018993337847903,0.0
1923.5653205,5387.0,5.4,52.19518014793605,87.0,33.728155709595626,18.020386380810336,0.0
1923.6850156,5426.0,5.4,54.05929372464805,87.0,33.729460749272775,18.02224047493192,0.4613558574648553
1923.7889957,5457.0,5.5,54.05929372464805,87.0,33.73053109207233,18.02376130852416,0.3799095790748998
1923.8860108,5498.0,5.5,54.05929372464805,87.0,33.73154010260207,18.025195142693025,0.0
1923.9639905,5506.0,5.5,54.05929372464805,87.0,33.732430976052385,18.02646121886029,0.0
1924.060181,5555.0,5.6,54.05929372464805,87.0,33.73339770874094,18.027835228912423,0.0
1924.1782035,5596.0,5.6,55.92340730136005,87.0,33.734771106093426,18.02968510532169,0.2492600082469182
1924.2861765,5621.0,5.6,55.92340730136005,87.0,33.73601811988895,18.03136494971792,0.212352910510556
1924.3742658,5672.0,5.7,55.92340730136005,87.0,33.73703386333049,18.0327333908343,0.2071203191649461
1924.4814593,5698.0,5.7,55.92340730136005,87.0,33.73827811416427,18.03440985497124,0.2017107244344036
1924.5648243,5733.0,5.7,55.92340730136005,87.0,33.73923150266902,18.03569454767833,0.0
1924.6856329,5777.0,5.8,57.78752087807206,87.0,33.74075854628523,18.03765622051936,0.2127299777434884
1924.7932939,5813.0,5.8,57.78752087807206,87.0,33.74210088124546,18.03938081845077,0.2027939202203718
1924.8642067,5840.0,5.8,57.78752087807206,87.0,33.74295376985192,18.040476688155028,0.2220167951016624
1924.9848605,5867.0,5.9,57.78752087807206,87.0,33.74450886502827,18.0424750175468,0.2023072084774931
1925.0724042,5914.0,5.9,57.78752087807206,87.0,33.74559020017535,18.04386470790096,0.0
1925.1807892,5952.0,6.0,60.27300564702139,87.0,33.74704240653708,18.04562908964077,0.292395292128684
1925.2894948,5971.0,6.0,60.27300564702139,87.0,33.74861304162751,18.047537575765823,0.2664118780703999
1925.3819586,6028.0,6.0,60.27300564702139,87.0,33.74986075034835,18.049053833632385,0.3660158002664218
1925.4843978,6067.0,6.1,60.27300564702139,87.0,33.75117951128162,18.0506565916333,0.0
1925.5460091,6096.0,6.1,62.13711922373339,87.0,33.752108707308,18.051764083913103,0.5179889795001784
1925.6776234,6136.0,6.1,62.13711922373339,87.0,33.754075860016926,18.054067375744367,0.43977791287228
1925.729749,6146.0,6.1,62.13711922373339,87.0,33.75482073786326,18.054939618651343,0.3934547536843125
1925.8972097,6208.0,6.2,62.13711922373339,87.0,33.757289855076536,18.05783125234392,0.0
1925.9931092,6228.0,6.2,64.0012328004454,87.0,33.75877948761332,18.059553539413127,0.4449620005691549
1926.073083,6250.0,6.2,64.0012328004454,87.0,33.76000042005113,18.060935834483526,0.4831680026558551
1926.1808759,6281.0,6.3,64.0012328004454,87.0,33.7617189339205,18.06288166218655,0.0
1926.2484466,6270.0,6.3,64.0012328004454,87.0,33.7627429572814,18.064041241855865,0.0
1926.3737915,5980.0,6.0,64.0012328004454,87.0,33.764719065959696,18.066279162296325,0.0
1926.4781182,5214.0,5.2,65.8653463771574,87.0,33.766432791067004,18.06817903198788,0.48946606901488
1926.5735518,4692.0,4.7,65.8653463771574,87.0,33.76800691884153,18.069907483214664,0.4253915872247589
1926.6884696,4275.0,4.3,65.8653463771574,87.0,33.76996056111627,18.072052891357497,0.0
1926.7373839,4265.0,4.3,65.8653463771574,87.0,33.77074118013833,18.072910207513093,0.0
1926.8691581,4304.0,4.3,65.8653463771574,87.0,33.77290676293828,18.075288780811697,0.0
1926.998145,4314.0,4.3,67.7294599538694,87.0,33.77508648814796,18.077665475739707,0.453338734446122
1927.0523705,4319.0,4.3,67.7294599538694,87.0,33.7760397221003,18.07868322187657,0.463813317665693
1927.1689317,4335.0,4.3,67.7294599538694,87.0,33.7780974034728,18.080880356150605,0.4185056131384985
1927.2421506,4350.0,4.4,67.7294599538694,87.0,33.77941219898374,18.08228439726232,0.0
1927.3891583,4360.0,4.4,67.7294599538694,87.0,33.78198456153542,18.085031681007194,0.0
1927.4809368,4375.0,4.4,68.97220233834406,88.0,33.783672999403,18.086803389127603,0.3301911798157954
1927.5842672,4396.0,4.4,68.97220233834406,88.0,33.7855480534857,18.08877111624706,0.0
1927.6773802,4400.0,4.4,68.97220233834406,88.0,33.78733790732962,18.09064962782279,0.0
1927.7541071,4380.0,4.4,68.97220233834406,88.0,33.788662842079034,18.09204031433854,0.0
1927.872496,4256.0,4.3,68.97220233834406,88.0,33.79086612544757,18.09435317069492,0.0
1927.997109,4175.0,4.2,70.21494472281873,88.0,33.793142644245414,18.0967032531923,0.1771842283866702
1928.0905921,4134.0,4.1,70.21494472281873,88.0,33.7950463056668,18.09866865531336,0.1518199498184648
1928.2013236,4071.0,4.1,70.21494472281873,88.0,33.79705709785332,18.10074488587341,0.1266744422913645
1928.3081052,4049.0,4.0,70.21494472281873,88.0,33.79910934057382,18.102864152343344,0.1300498261308439
1928.4236591,4006.0,4.0,70.21494472281873,88.0,33.80124539559927,18.105070222038684,0.0
1928.5335671,3885.0,3.9,70.21494472281873,88.0,33.803418112080465,18.107314420399423,0.0
1928.6691129,3753.0,3.8,70.21494472281873,88.0,33.805804106834664,18.10977922241399,0.0
1928.7568408,3312.0,3.3,70.21494472281873,88.0,33.807502134433626,18.1115335311054,0.0
1928.8651952,3028.0,3.0,70.21494472281873,88.0,33.80958641141532,18.11368711512956,0.0
1929.0165306,3065.0,3.1,70.21494472281873,88.0,33.812410782194995,18.11660579629889,0.0
1929.1498936,3063.0,3.1,70.21494472281873,88.0,33.81512321250412,18.119409225487708,0.0
1929.2659032,3078.0,3.1,70.21494472281873,88.0,33.81713912600908,18.121493041212208,0.0
1929.358222,3091.0,3.1,70.21494472281873,88.0,33.81885180606564,18.123263591010414,0.0
1929.4847869,3093.0,3.1,70.21494472281873,88.0,33.82131057524849,18.12580573088576,0.0
1929.5646197,3075.0,3.1,70.21494472281873,88.0,33.82287299092155,18.12742130264806,0.0
1929.6924684,3053.0,3.1,70.21494472281873,88.0,33.82518732540886,18.12981462974973,0.0
1929.7652502,3053.0,3.1,70.21494472281873,88.0,33.82658153907435,18.131256577507465,0.0
1929.8583094,3065.0,3.1,70.21494472281873,88.0,33.82827007554251,18.13300307283586,0.0
1929.9439397,3067.0,3.1,70.21494472281873,88.0,33.82997162312516,18.134763189863527,0.0
1930.0824222,2975.0,3.0,70.21494472281873,88.0,33.83251475571495,18.137394167247272,0.0
1930.1523873,2961.0,3.0,70.21494472281873,88.0,33.83395509036192,18.13888441703573,0.0
1930.2495233,2973.0,3.0,70.21494472281873,88.0,33.835653443029,18.140641778126817,0.0
1930.3844161,2964.0,3.0,70.21494472281873,88.0,33.83819468273938,18.143271618418545,0.0
1930.4898553,2933.0,2.9,70.21494472281873,88.0,33.84022524962102,18.145373245334024,0.0
1930.5966016,2908.0,2.9,70.21494472281873,88.0,33.842204938083846,18.14742243923953,0.0
1930.653465,2904.0,2.9,70.21494472281873,88.0,33.84326525263866,18.1485200724125,0.0
1930.7812109,2897.0,2.9,70.21494472281873,88.0,33.84567891742308,18.151018926724845,0.0
1930.8850037,2895.0,2.9,70.21494472281873,88.0,33.847653789301305,18.153063747799628,0.0
1930.9299958,2892.0,2.9,70.21494472281873,88.0,33.84854668279691,18.15398834014216,0.0
1931.069267,2886.0,2.9,70.21494472281873,88.0,33.85116213079224,18.15669690113899,0.0
1931.1574461,2886.0,2.9,70.21494472281873,88.0,33.85337498309264,18.15898883786048,0.0
1931.2572769,2877.0,2.9,70.21494472281873,88.0,33.85463593959918,18.160294984063874,0.0
1931.3723094,2877.0,2.9,70.21494472281873,88.0,33.85696588508727,18.162708667648268,0.0
1931.4973831,2875.0,2.9,70.21494472281873,88.0,33.859108446198064,18.16492850532402,0.0
1931.5891459,2868.0,2.9,70.21494472281873,88.0,33.8608948753316,18.166779566308428,0.0
1931.6858067,2866.0,2.9,69.5935735305814,88.0,33.86267656816495,18.16863606463597,-0.2128719967150823
1931.7613348,2866.0,2.9,69.5935735305814,88.0,33.86408297366262,18.170105849978462,-0.2028734180278941
1931.85788,2864.0,2.9,69.5935735305814,88.0,33.86589009464577,18.17199457896783,0.0
1931.9944966,2864.0,2.9,69.5935735305814,88.0,33.8685299240089,18.17475396415832,0.0
1932.0975737,2866.0,2.9,69.5935735305814,88.0,33.87032977951123,18.17663556753902,0.0
1932.2213788,2855.0,2.9,69.5935735305814,88.0,33.87262402245159,18.179034287901,0.0
1932.3300347,2853.0,2.9,69.5935735305814,88.0,33.874623005812374,18.181124554079844,0.0
1932.4136918,2842.0,2.8,69.5935735305814,88.0,33.87620652538906,18.1827805505604,0.0
1932.5214141,2846.0,2.8,69.5935735305814,88.0,33.878130447245205,18.18479272695028,0.0
1932.6004188,2840.0,2.8,69.5935735305814,88.0,33.87967489924967,18.18640818324109,0.0
1932.7252279,2834.0,2.8,69.5935735305814,88.0,33.881915752594296,18.18875230551148,0.0
1932.8647585,2835.0,2.8,69.5935735305814,88.0,33.884502508724715,18.19145863720108,0.0
1932.957382,2829.0,2.8,69.5935735305814,88.0,33.886400159115354,18.1934442578432,0.0
1933.0457284,2846.0,2.8,69.5935735305814,88.0,33.88780585962893,18.194915259140068,0.0
1933.1731495,2873.0,2.9,68.97220233834406,88.0,33.89010991016635,18.197347391425023,-0.0632375182632362
1933.2644552,2906.0,2.9,68.97220233834406,88.0,33.8918230930443,18.19915601691673,-0.0708673610777822
1933.3995377,2925.0,2.9,68.97220233834406,88.0,33.894286895962914,18.20175738974318,-0.0800585240707296
1933.43231,2925.0,2.9,68.97220233834406,88.0,33.89487621141918,18.20237966461625,0.0
1933.5607149,2925.0,2.9,68.35083114610673,88.0,33.89717889120379,18.204818775728192,-0.1420271291847096
1933.6703774,2927.0,2.9,68.35083114610673,88.0,33.8991373737917,18.206905551285328,-0.1189808027495491
1933.7937027,2935.0,2.9,68.35083114610673,88.0,33.90134254270247,18.209255456657395,0.0
1933.8535427,2940.0,2.9,68.35083114610673,88.0,33.902433646645605,18.210418286564074,0.0
1933.948797,2940.0,2.9,68.35083114610673,88.0,33.904042742767245,18.212133294356068,0.0
1934.0812807,2940.0,2.9,68.35083114610673,88.0,33.90641311141039,18.214659973963823,0.0
1934.1923339,2945.0,2.9,68.35083114610673,88.0,33.908465456362926,18.21684793912921,0.0
1934.2659499,2947.0,2.9,68.35083114610673,88.0,33.90969094722265,18.218154535516028,0.0
1934.3806264,2945.0,2.9,68.35083114610673,88.0,33.91174387374524,18.22034353733568,0.0
